file_path,label
"/mnt/external.data/TowbinLab/jtuomaala/20230424_CREST_20x_photobleach_148_n2_ribosomes_20230421_232224_135/20230421_232224_135/pad2/analysis/ch1_sobel_str/seg_Time00123_Point0015_Channel546_nm,Mono_Seq36965.ome.tiff",worm
/mnt/external.data/TowbinLab/spradhan/20221012_wBt307_0_50_100uM_IAA/analysis/ch1_sobel_str/seg_Time00067_Point0030_Channel470.tiff,worm
/mnt/external.data/TowbinLab/kstojanovski/20221209_Ti2_10x_earlyEggs_wBT160_25C_20221209_130053_455/analysis/ch2_sobel_str/seg_Time00167_Point0073_Channel575.tiff,worm
/mnt/external.data/TowbinLab/spradhan/20221021_wBT308_repeat2_0mM_1mM_IAA_P0/analysis/ch1_sobel_str/seg_Time00198_Point0121_Channel477.tiff,worm
/mnt/external.data/TowbinLab/kstojanovski/20230602_Orca_10x_16hIAA_wBT160-182-186-190_20230603_091744_737/analysis/ch2_sobel_str/seg_Time00086_Point0026_Channel575.tiff,worm
/mnt/external.data/TowbinLab/jtuomaala/20220318_Ti2_10x_recovery_20220318_162544_939/20220318_162544_939/pad6/analysis/ch1_sobel_str/seg_Time00176_Point0023_Channel470_nm_Seq40837.tiff,worm
/mnt/external.data/TowbinLab/jtuomaala/20220318_Ti2_10x_recovery_20220318_162544_939/20220318_162544_939/pad2/analysis/ch1_sobel_str/seg_Time00223_Point0011_Channel470_nm_Seq51573.tiff,worm
/mnt/external.data/TowbinLab/kstojanovski/20220909_crest_10x_yap-1d_wBT125-310_25C_20220909_154052_701/analysis/ch2_sobel_str/seg_Time00217_Point0019_Channel477.tiff,worm
"/mnt/external.data/TowbinLab/jtuomaala/20230524_photobleach_3/20230523_183432_360/pad4/analysis/ch1_sobel_str/seg_Time00011_Point0022_Channel546_nm,Mono_Seq4162.ome.tiff",worm
"/mnt/external.data/TowbinLab/jtuomaala/20230424_CREST_20x_photobleach_148_n2_ribosomes_20230421_232224_135/20230421_232224_135/pad5/analysis/ch1_sobel_str/seg_Time00028_Point0030_Channel546_nm,Mono_Seq8630.ome.tiff",error
/mnt/external.data/TowbinLab/spradhan/20220913_wB307_L1_recovery_0_500_1000IAA/analysis/ch1_sobel_str/seg_Time00021_Point0074_Channel470.tiff,worm
